month,MOM20_w,MOM120_w,RSI_w,PB_w,PE_w,DIV_w,ROE_w,PROFIT_GR_w,VOL_w,BETA_w
2024-02-01,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.96,0.00,0.00
2024-03-01,0.21,0.12,0.15,0.00,0.00,0.00,0.14,0.37,0.00,0.00
2024-04-01,0.01,0.01,0.08,0.00,0.02,0.04,0.67,0.15,0.01,0.01
2024-05-01,0.01,0.01,0.03,0.01,0.03,0.03,0.47,0.37,0.01,0.03
2024-06-01,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.81,0.00,0.00
2024-07-01,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.62,0.00,0.00
2024-08-01,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.56,0.00,0.00
2024-09-01,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.83,0.00,0.00
2024-10-01,0.00,0.00,0.00,0.03,0.01,0.02,0.61,0.18,0.01,0.14
2024-11-01,0.00,0.00,0.00,0.01,0.00,0.00,0.11,0.49,0.01,0.37
2024-12-01,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.59,0.00,0.14
