month,MOM20_w,MOM120_w,RSI_w,PB_w,PE_w,DIV_w,ROE_w,PROFIT_GR_w,VOL_w,BETA_w
2024-02-01,0.01,0.03,0.01,0.00,0.00,0.00,0.42,0.53,0.00,0.00
2024-03-01,0.30,0.58,0.10,0.00,0.00,0.00,0.01,0.01,0.00,0.00
2024-04-01,0.02,0.05,0.06,0.01,0.01,0.04,0.54,0.27,0.00,0.00
2024-05-01,0.00,0.00,0.01,0.14,0.34,0.31,0.06,0.06,0.06,0.01
2024-06-01,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.38,0.00,0.00
2024-07-01,0.00,0.00,0.00,0.00,0.00,0.02,0.74,0.23,0.00,0.00
2024-08-01,0.00,0.00,0.00,0.00,0.02,0.11,0.71,0.15,0.00,0.00
2024-09-01,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.22,0.00,0.00
2024-10-01,0.04,0.06,0.09,0.10,0.11,0.10,0.12,0.19,0.04,0.15
2024-11-01,0.02,0.03,0.00,0.25,0.28,0.24,0.01,0.01,0.07,0.09
2024-12-01,0.00,0.00,0.00,0.11,0.34,0.35,0.01,0.00,0.13,0.06
